Date/time,C1_Anem NRG 135 Deg-150m;wind_speed;Avg,C1_Anem NRG 135 Deg-150m;wind_speed;Max,C1_Anem NRG 135 Deg-150m;wind_speed;Min,C1_Anem NRG 135 Deg-150m;wind_speed;StdDev,C1_Anem NRG 135 Deg-150m;wind_speed;Count,C2_Anem NRG 315 Deg-150m;wind_speed;Avg,C2_Anem NRG 315 Deg-150m;wind_speed;Max,C2_Anem NRG 315 Deg-150m;wind_speed;Min,C2_Anem NRG 315 Deg-150m;wind_speed;StdDev,C2_Anem NRG 315 Deg-150m;wind_speed;Count,C3_Anem NRG 135 Deg-120m;wind_speed;Avg,C3_Anem NRG 135 Deg-120m;wind_speed;Max,C3_Anem NRG 135 Deg-120m;wind_speed;Min,C3_Anem NRG 135 Deg-120m;wind_speed;StdDev,C3_Anem NRG 135 Deg-120m;wind_speed;Count,C4_Anem NRG 135 Deg-100m;wind_speed;Avg,C4_Anem NRG 135 Deg-100m;wind_speed;Max,C4_Anem NRG 135 Deg-100m;wind_speed;Min,C4_Anem NRG 135 Deg-100m;wind_speed;StdDev,C4_Anem NRG 135 Deg-100m;wind_speed;Count,C5_Anem NRG 135 Deg-80m;wind_speed;Avg,C5_Anem NRG 135 Deg-80m;wind_speed;Max,C5_Anem NRG 135 Deg-80m;wind_speed;Min,C5_Anem NRG 135 Deg-80m;wind_speed;StdDev,C5_Anem NRG 135 Deg-80m;wind_speed;Count,C6_Anem NRG 135 Deg-50m;wind_speed;Avg,C6_Anem NRG 135 Deg-50m;wind_speed;Max,C6_Anem NRG 135 Deg-50m;wind_speed;Min,C6_Anem NRG 135 Deg-50m;wind_speed;StdDev,C6_Anem NRG 135 Deg-50m;wind_speed;Count,Label -C7_Anem NRG 135 Deg-30m;wind_speed;Avg,Label -C7_Anem NRG 135 Deg-30m;wind_speed;Max,Label -C7_Anem NRG 135 Deg-30m;wind_speed;Min,Label -C7_Anem NRG 135 Deg-30m;wind_speed;StdDev,Label -C7_Anem NRG 135 Deg-30m;wind_speed;Count,Label -C8_Anem NRG 135 Deg-10m;wind_speed;Avg,Label -C8_Anem NRG 135 Deg-10m;wind_speed;Max,Label -C8_Anem NRG 135 Deg-10m;wind_speed;Min,Label -C8_Anem NRG 135 Deg-10m;wind_speed;StdDev,Label -C8_Anem NRG 135 Deg-10m;wind_speed;Count,A1_Wind Vane 315 Deg -146m;wind_direction;Avg,A1_Wind Vane 315 Deg -146m;wind_direction;StdDev,A1_Wind Vane 315 Deg -146m;wind_direction;Count,A2_Wind Vane 315 Deg-118m;wind_direction;Avg,A2_Wind Vane 315 Deg-118m;wind_direction;StdDev,A2_Wind Vane 315 Deg-118m;wind_direction;Count,Wind vane 315Deg -98m;wind_direction;Avg,Wind vane 315Deg -98m;wind_direction;StdDev,Wind vane 315Deg -98m;wind_direction;Count,A9Wind Vane315 Deg-48m;wind_direction;Avg,A9Wind Vane315 Deg-48m;wind_direction;StdDev,A9Wind Vane315 Deg-48m;wind_direction;Count,A3.A4_Temp.A and Humidity # Galltec-120m;humidity;Avg,A3.A4_Temp.A and Humidity # Galltec-120m;humidity;Max,A3.A4_Temp.A and Humidity # Galltec-120m;humidity;Min,A3.A4_Temp.A and Humidity # Galltec-120m;humidity;StdDev,A3.A4_Temp.A and Humidity # Galltec-120m;humidity;Count,A5.A6_Temp.B and Humidity # Galltec-10m;humidity;Avg,A5.A6_Temp.B and Humidity # Galltec-10m;humidity;Max,A5.A6_Temp.B and Humidity # Galltec-10m;humidity;Min,A5.A6_Temp.B and Humidity # Galltec-10m;humidity;StdDev,A5.A6_Temp.B and Humidity # Galltec-10m;humidity;Count,A3.A4_Temp.A and Humidity # Galltec-120m;temperature;Avg,A3.A4_Temp.A and Humidity # Galltec-120m;temperature;Max,A3.A4_Temp.A and Humidity # Galltec-120m;temperature;Min,A3.A4_Temp.A and Humidity # Galltec-120m;temperature;StdDev,A3.A4_Temp.A and Humidity # Galltec-120m;temperature;Count,A5.A6_Temp.B and Humidity # Galltec-10m;temperature;Avg,A5.A6_Temp.B and Humidity # Galltec-10m;temperature;Max,A5.A6_Temp.B and Humidity # Galltec-10m;temperature;Min,A5.A6_Temp.B and Humidity # Galltec-10m;temperature;StdDev,A5.A6_Temp.B and Humidity # Galltec-10m;temperature;Count,A7_NRG #BP65-120m;air_pressure;Avg,A7_NRG #BP65-120m;air_pressure;Max,A7_NRG #BP65-120m;air_pressure;Min,A7_NRG #BP65-120m;air_pressure;StdDev,A7_NRG #BP65-120m;air_pressure;Count,A10 NRG BP65 Barometer10m;air_pressure;Avg,A10 NRG BP65 Barometer10m;air_pressure;Max,A10 NRG BP65 Barometer10m;air_pressure;Min,A10 NRG BP65 Barometer10m;air_pressure;StdDev,A10 NRG BP65 Barometer10m;air_pressure;Count,Solar Sensor;solar_irradiance;Avg,Solar Sensor;solar_irradiance;Max,Solar Sensor;solar_irradiance;Min,Solar Sensor;solar_irradiance;StdDev,Solar Sensor;solar_irradiance;Count,A1;Avg,A1;Max,A1;Min,A1;StdDev,A1;Count,A2;Avg,A2;Max,A2;Min,A2;StdDev,A2;Count,A3;Avg,A3;Max,A3;Min,A3;StdDev,A3;Count,A4;Avg,A4;Max,A4;Min,A4;StdDev,A4;Count,A5;Avg,A5;Max,A5;Min,A5;StdDev,A5;Count,A6;Avg,A6;Max,A6;Min,A6;StdDev,A6;Count,A7;Avg,A7;Max,A7;Min,A7;StdDev,A7;Count,A8;Avg,A8;Max,A8;Min,A8;StdDev,A8;Count,A9;Avg,A9;Max,A9;Min,A9;StdDev,A9;Count,A10;Avg,A10;Max,A10;Min,A10;StdDev,A10;Count,A11;Avg,A11;Max,A11;Min,A11;StdDev,A11;Count,C1;Avg,C1;Max,C1;Min,C1;StdDev,C1;Count,C2;Avg,C2;Max,C2;Min,C2;StdDev,C2;Count,C3;Avg,C3;Max,C3;Min,C3;StdDev,C3;Count,C4;Avg,C4;Max,C4;Min,C4;StdDev,C4;Count,C5;Avg,C5;Max,C5;Min,C5;StdDev,C5;Count,C6;Avg,C6;Max,C6;Min,C6;StdDev,C6;Count,C7;Avg,C7;Max,C7;Min,C7;StdDev,C7;Count,C8;Avg,C8;Max,C8;Min,C8;StdDev,C8;Count,V;Avg,V;Max,V;Min,I;Avg,I;Max,I;Min,T;Avg,addr
2026-07-07 00:00:00,9.447,12.5,7.2,0.963,600,9.409,11.7,6.4,0.956,600,8.964,11.8,6.4,1.022,600,8.770,11.8,6.4,1.011,600,8.388,11.0,6.4,0.864,600,7.654,10.3,5.7,0.849,600,6.420,9.5,3.4,1.101,600,4.393,7.2,0.4,1.210,600,207.7355,5.3579,600,205.3773,5.2072,600,207.1333,4.9903,600,204.4701,6.0041,600,83.9883,84.16,83.79,0.0731,600,80.9723,81.27,80.57,0.1655,600,28.47957,28.511,28.451,0.01678,600,28.41539,28.441,28.391,0.01342,600,988.7622,989.92,988.28,0.2496,600,999.4325,999.66,999.17,0.0656,600,1.0106,1.18,0.97,0.0362,600,1.714588,1.8178,1.5919,0.036295,600,1.700409,1.7980,1.5902,0.035221,600,0.5847957,0.58511,0.58451,0.0001678,600,0.839883,0.8416,0.8379,0.000731,600,0.5841539,0.58441,0.58391,0.0001342,600,0.809723,0.8127,0.8057,0.001655,600,2.025546,2.0303,2.0236,0.001024,600,1.713723,1.8087,1.6086,0.033891,600,1.694734,1.8158,1.5620,0.040668,600,2.069295,2.0702,2.0682,0.000269,600,0.0006316,0.00074,0.00060,0.0000226,600,12.00,16,9,1.26,600,11.95,15,8,1.26,600,11.32,15,8,1.35,600,11.08,15,8,1.33,600,10.56,14,8,1.13,600,9.57,13,7,1.12,600,7.99,12,4,1.45,600,5.23,9,0,1.60,600,12.9350,13.00,12.63,31.44,90,20,28.95,345004
2026-07-07 00:10:00,9.259,11.7,7.2,0.949,600,9.285,11.7,7.2,0.934,600,8.733,11.0,6.4,0.902,600,8.427,11.8,6.4,0.845,600,8.014,10.2,5.7,0.861,600,7.479,10.3,5.7,0.840,600,6.661,8.7,3.4,0.906,600,4.800,8.0,0.4,1.179,600,207.6029,4.5116,600,205.8896,4.5166,600,207.2118,4.6548,600,204.1789,5.8740,600,83.7773,83.99,83.55,0.0982,600,80.5941,80.80,80.30,0.1122,600,28.49315,28.515,28.454,0.01616,600,28.45336,28.468,28.421,0.00933,600,988.7481,989.92,988.28,0.2441,600,999.4282,999.66,999.25,0.0722,600,1.0134,1.18,0.97,0.0358,600,1.713696,1.8265,1.5919,0.030566,600,1.703873,1.7919,1.5858,0.030547,600,0.5849315,0.58515,0.58454,0.0001616,600,0.837773,0.8399,0.8355,0.000982,600,0.5845336,0.58468,0.58421,0.0000933,600,0.805941,0.8080,0.8030,0.001122,600,2.025489,2.0303,2.0236,0.001001,600,1.714258,1.8144,1.6261,0.031611,600,1.692776,1.8329,1.5590,0.039791,600,2.069278,2.0702,2.0685,0.000296,600,0.0006334,0.00074,0.00060,0.0000224,600,11.75,15,9,1.25,600,11.78,15,9,1.23,600,11.02,14,8,1.19,600,10.63,15,8,1.11,600,10.07,13,7,1.13,600,9.34,13,7,1.11,600,8.31,11,4,1.20,600,5.77,10,0,1.56,600,12.9001,13.00,12.73,39.34,80,20,29.24,345081
2026-07-07 00:20:00,9.111,11.7,7.2,0.804,600,9.144,11.7,7.2,0.776,600,8.513,11.0,5.7,1.044,600,8.192,11.0,5.7,0.997,600,7.591,10.2,5.7,0.870,600,7.064,9.5,4.9,0.958,600,6.246,9.5,3.4,0.978,600,4.094,8.0,0.4,1.463,600,206.6492,5.0043,600,205.3744,4.9175,600,206.0082,4.9835,600,202.5928,6.9050,600,84.0061,84.63,83.55,0.2899,600,81.0197,81.67,80.33,0.3756,600,28.42505,28.511,28.344,0.05655,600,28.40678,28.471,28.307,0.05255,600,988.7133,989.92,988.28,0.2128,600,999.3964,999.66,999.09,0.0797,600,1.0121,1.18,0.97,0.0365,600,1.707232,1.8037,1.5764,0.033900,600,1.700395,1.8013,1.5895,0.033259,600,0.5842505,0.58511,0.58344,0.0005655,600,0.840061,0.8463,0.8355,0.002899,600,0.5840678,0.58471,0.58307,0.0005255,600,0.810197,0.8167,0.8033,0.003756,600,2.025346,2.0303,2.0236,0.000873,600,1.706084,1.8326,1.5821,0.033858,600,1.682039,1.8597,1.5324,0.046803,600,2.069147,2.0702,2.0679,0.000327,600,0.0006326,0.00074,0.00060,0.0000228,600,11.56,15,9,1.06,600,11.60,15,9,1.02,600,10.72,14,7,1.37,600,10.33,14,7,1.31,600,9.52,13,7,1.14,600,8.79,12,6,1.26,600,7.76,12,4,1.29,600,4.84,10,0,1.94,600,12.9504,13.03,12.87,22.00,25,18,29.00,345158
2026-07-07 00:30:00,8.996,11.0,6.4,0.773,600,9.048,11.0,6.4,0.789,600,8.201,10.2,5.7,0.831,600,7.780,10.2,5.7,0.769,600,7.197,9.5,5.7,0.769,600,6.433,8.7,4.2,0.856,600,5.580,7.9,2.6,0.927,600,3.552,6.5,0.4,1.542,600,206.6076,4.5856,600,204.2328,4.6514,600,206.0473,4.8384,600,203.2296,5.6278,600,84.6870,84.86,84.43,0.1041,600,82.0170,82.35,81.61,0.1895,600,28.32743,28.354,28.310,0.00877,600,28.25245,28.317,28.209,0.02925,600,988.7329,990.00,988.36,0.2617,600,999.3664,999.58,999.17,0.0719,600,1.0092,1.18,0.97,0.0386,600,1.706959,1.8121,1.6110,0.031061,600,1.692686,1.7936,1.5962,0.031459,600,0.5832743,0.58354,0.58310,0.0000877,600,0.846870,0.8486,0.8443,0.001041,600,0.5825245,0.58317,0.58209,0.0002925,600,0.820170,0.8235,0.8161,0.001895,600,2.025426,2.0306,2.0239,0.001073,600,1.706366,1.8141,1.6056,0.032858,600,1.686365,1.8178,1.5539,0.038121,600,2.069024,2.0699,2.0682,0.000295,600,0.0006308,0.00074,0.00060,0.0000241,600,11.41,14,8,1.01,600,11.47,14,8,1.04,600,10.31,13,7,1.09,600,9.79,13,7,1.01,600,9.00,12,7,1.01,600,7.96,11,5,1.13,600,6.88,10,3,1.22,600,4.12,8,0,2.04,600,12.9514,13.00,12.90,22.10,24,20,28.99,345235
2026-07-07 00:40:00,9.437,11.7,7.2,0.723,600,9.504,11.0,7.2,0.690,600,8.659,10.2,7.2,0.692,600,8.124,10.2,4.9,0.799,600,7.397,9.5,4.1,0.930,600,6.292,8.0,3.4,0.996,600,5.051,7.9,2.6,1.014,600,2.817,6.5,0.4,1.685,600,202.0876,4.0652,600,200.5939,4.7563,600,201.2409,5.7622,600,199.0327,8.2704,600,84.8794,85.06,84.76,0.0523,600,82.3095,82.68,82.08,0.1548,600,28.31878,28.330,28.303,0.00611,600,28.21712,28.233,28.203,0.00686,600,988.7334,989.92,988.36,0.1913,600,999.3798,999.58,999.25,0.0686,600,1.0099,1.18,0.97,0.0359,600,1.676381,1.7715,1.5657,0.027535,600,1.668098,1.7469,1.5392,0.032170,600,0.5831878,0.58330,0.58303,0.0000611,600,0.848794,0.8506,0.8476,0.000523,600,0.5821712,0.58233,0.58203,0.0000686,600,0.823095,0.8268,0.8208,0.001548,600,2.025428,2.0303,2.0239,0.000784,600,1.673727,1.7735,1.4965,0.039152,600,1.657941,1.8114,1.4586,0.056045,600,2.069079,2.0699,2.0685,0.000281,600,0.0006312,0.00074,0.00060,0.0000224,600,11.99,15,9,0.95,600,12.07,14,9,0.91,600,10.92,13,9,0.91,600,10.24,13,6,1.05,600,9.27,12,5,1.22,600,7.78,10,4,1.31,600,6.18,10,3,1.34,600,3.15,8,0,2.23,600,12.9497,13.11,12.84,22.12,25,20,28.98,345312
2026-07-07 00:50:00,9.645,11.7,7.2,0.838,600,9.716,12.5,7.2,0.812,600,9.025,11.8,6.4,0.854,600,8.547,11.0,5.7,0.915,600,7.883,11.0,5.7,0.845,600,6.904,9.5,4.9,0.859,600,5.499,7.9,3.4,0.891,600,2.929,5.7,0.4,1.550,600,201.9628,4.5343,600,199.7218,4.7723,600,200.2877,5.5561,600,195.6995,5.9249,600,84.7319,85.06,84.36,0.2059,600,82.8140,83.08,82.38,0.2003,600,28.35706,28.404,28.300,0.03232,600,28.18856,28.209,28.172,0.01008,600,988.7445,990.00,988.28,0.2636,600,999.3672,999.58,999.25,0.0647,600,1.0082,1.18,0.97,0.0360,600,1.675546,1.7698,1.5939,0.030712,600,1.662214,1.7547,1.5257,0.032278,600,0.5835706,0.58404,0.58300,0.0003232,600,0.847319,0.8506,0.8436,0.002059,600,0.5818856,0.58209,0.58172,0.0001008,600,0.828140,0.8308,0.8238,0.002003,600,2.025474,2.0306,2.0236,0.001081,600,1.667308,1.7879,1.5522,0.037738,600,1.635449,1.7983,1.5099,0.040128,600,2.069028,2.0699,2.0685,0.000265,600,0.0006302,0.00074,0.00060,0.0000225,600,12.26,15,9,1.10,600,12.35,16,9,1.07,600,11.40,15,8,1.12,600,10.79,14,7,1.20,600,9.90,14,7,1.11,600,8.58,12,6,1.13,600,6.78,10,4,1.17,600,3.29,7,0,2.05,600,12.9473,13.00,12.89,22.08,25,20,28.96,345389
2026-07-07 01:00:00,9.064,11.7,7.2,0.788,600,9.153,11.0,7.2,0.757,600,8.447,10.2,6.4,0.738,600,8.155,10.2,5.7,0.739,600,7.684,9.5,5.7,0.804,600,6.784,9.5,4.2,0.874,600,5.546,7.9,2.6,1.058,600,2.822,7.2,0.4,1.695,600,202.6496,3.9319,600,199.7732,4.4046,600,200.4095,4.6078,600,195.8418,5.9642,600,84.3931,84.53,84.23,0.0622,600,82.2463,82.51,81.91,0.1606,600,28.39502,28.407,28.384,0.00487,600,28.22973,28.263,28.203,0.01183,600,988.7360,990.00,988.36,0.2018,600,999.3812,999.58,999.25,0.0621,600,1.0070,1.18,0.97,0.0350,600,1.680187,1.7711,1.5996,0.026630,600,1.662566,1.7594,1.5556,0.029790,600,0.5839502,0.58407,0.58384,0.0000487,600,0.843931,0.8453,0.8423,0.000622,600,0.5822973,0.58263,0.58203,0.0001183,600,0.822463,0.8251,0.8191,0.001606,600,2.025439,2.0306,2.0239,0.000828,600,1.668126,1.7701,1.5304,0.031296,600,1.636418,1.7983,1.5063,0.040400,600,2.069085,2.0699,2.0685,0.000254,600,0.0006294,0.00074,0.00060,0.0000219,600,11.50,15,9,1.04,600,11.61,14,9,1.00,600,10.64,13,8,0.97,600,10.28,13,7,0.97,600,9.64,12,7,1.05,600,8.42,12,5,1.15,600,6.84,10,3,1.40,600,3.15,9,0,2.25,600,12.9441,13.00,12.89,22.12,26,20,28.93,345466
2026-07-07 01:10:00,9.097,11.0,7.2,0.724,600,9.180,11.0,7.2,0.741,600,8.596,11.0,6.4,0.752,600,8.092,9.5,5.7,0.800,600,7.500,9.5,4.9,0.731,600,6.618,8.7,4.2,0.704,600,5.338,7.9,2.6,0.920,600,3.199,7.2,0.4,1.686,600,202.7240,4.2549,600,199.3352,5.1951,600,200.3505,4.9298,600,195.9712,6.0589,600,84.0350,84.29,83.86,0.1001,600,81.9735,82.14,81.71,0.0926,600,28.43056,28.451,28.401,0.00914,600,28.25906,28.270,28.246,0.00458,600,988.7623,990.08,988.36,0.2610,600,999.3704,999.58,999.17,0.0669,600,1.0073,1.18,0.97,0.0359,600,1.680685,1.7741,1.5694,0.028820,600,1.659597,1.7627,1.5294,0.035142,600,0.5843056,0.58451,0.58401,0.0000914,600,0.840350,0.8429,0.8386,0.001001,600,0.5825906,0.58270,0.58246,0.0000458,600,0.819735,0.8214,0.8171,0.000926,600,2.025547,2.0309,2.0239,0.001070,600,1.667736,1.7859,1.5818,0.033480,600,1.637300,1.8141,1.5076,0.041056,600,2.069040,2.0699,2.0682,0.000274,600,0.0006295,0.00074,0.00060,0.0000224,600,11.54,14,9,0.95,600,11.64,14,9,0.98,600,10.83,14,8,0.99,600,10.20,12,7,1.05,600,9.40,12,6,0.96,600,8.21,11,5,0.93,600,6.56,10,3,1.21,600,3.65,9,0,2.23,600,12.9434,12.99,12.88,22.06,25,18,28.90,345545
2026-07-07 01:20:00,8.572,11.0,6.4,0.816,600,8.602,11.0,6.4,0.836,600,7.891,10.2,5.7,0.816,600,7.531,9.5,4.9,0.776,600,7.041,8.7,4.9,0.839,600,6.298,9.5,4.2,0.887,600,5.233,7.9,0.4,1.042,600,2.856,6.5,0.4,1.766,600,206.0862,5.0053,600,203.4421,4.8322,600,204.4755,4.6720,600,200.0378,6.9312,600,83.9619,84.12,83.79,0.0792,600,81.6712,82.01,81.14,0.2434,600,28.43880,28.474,28.417,0.01339,600,28.27598,28.317,28.253,0.01745,600,988.8498,990.08,988.44,0.2459,600,999.4883,999.74,999.33,0.0654,600,1.0098,1.18,0.97,0.0374,600,1.703432,1.8127,1.5888,0.033904,600,1.687336,1.7617,1.5945,0.032680,600,0.5843880,0.58474,0.58417,0.0001339,600,0.839619,0.8412,0.8379,0.000792,600,0.5827598,0.58317,0.58253,0.0001745,600,0.816712,0.8201,0.8114,0.002434,600,2.025906,2.0309,2.0242,0.001008,600,1.695701,1.8010,1.5841,0.031725,600,1.664771,1.8084,1.5136,0.046952,600,2.069524,2.0706,2.0689,0.000268,600,0.0006311,0.00074,0.00060,0.0000234,600,10.85,14,8,1.07,600,10.88,14,8,1.10,600,9.90,13,7,1.07,600,9.46,12,6,1.02,600,8.80,11,6,1.10,600,7.78,12,5,1.17,600,6.42,10,0,1.37,600,3.20,8,0,2.34,600,12.9418,13.00,12.89,22.09,27,20,28.83,345622
2026-07-07 01:30:00,8.376,11.0,6.4,0.878,600,8.453,11.0,6.4,0.890,600,7.749,9.5,5.7,0.742,600,7.518,9.5,5.7,0.716,600,7.237,8.7,4.9,0.666,600,6.493,8.7,4.2,0.840,600,5.657,7.9,3.4,0.816,600,3.665,5.7,0.4,1.215,600,206.1988,4.4615,600,204.1974,4.6834,600,204.7618,5.0825,600,202.2133,6.2357,600,83.8134,83.89,83.69,0.0427,600,80.9706,81.27,80.77,0.1300,600,28.44595,28.474,28.427,0.01245,600,28.35939,28.384,28.313,0.01795,600,988.7296,989.92,988.36,0.2018,600,999.3966,999.58,999.17,0.0803,600,1.0093,1.18,0.97,0.0343,600,1.704189,1.8084,1.6063,0.030221,600,1.692450,1.7869,1.5905,0.031675,600,0.5844595,0.58474,0.58427,0.0001245,600,0.838134,0.8389,0.8369,0.000427,600,0.5835939,0.58384,0.58313,0.0001795,600,0.809706,0.8127,0.8077,0.001300,600,2.025413,2.0303,2.0239,0.000827,600,1.697649,1.7966,1.5942,0.034517,600,1.679527,1.8500,1.5388,0.042255,600,2.069148,2.0699,2.0682,0.000329,600,0.0006308,0.00074,0.00060,0.0000215,600,10.59,14,8,1.15,600,10.69,14,8,1.17,600,9.72,12,7,0.98,600,9.44,12,7,0.94,600,9.05,11,6,0.87,600,8.04,11,5,1.11,600,6.98,10,4,1.08,600,4.27,7,0,1.61,600,12.9408,13.00,12.84,21.98,24,20,28.75,345699
2026-07-07 01:40:00,8.678,11.0,7.2,0.653,600,8.721,10.2,7.2,0.664,600,7.937,9.5,6.4,0.615,600,7.662,9.5,5.7,0.612,600,7.141,8.7,5.7,0.651,600,6.537,8.0,4.9,0.668,600,5.616,8.7,3.4,0.817,600,3.300,6.5,0.4,1.596,600,203.8325,3.9420,600,200.4541,3.7714,600,201.4490,3.6312,600,198.1028,5.0961,600,83.6285,83.82,83.35,0.1001,600,81.2636,81.47,81.00,0.1218,600,28.45157,28.491,28.431,0.01291,600,28.33415,28.377,28.307,0.02131,600,988.6484,989.83,988.36,0.2600,600,999.2536,999.49,999.09,0.0570,600,1.0108,1.18,0.97,0.0371,600,1.688190,1.7594,1.6204,0.026695,600,1.667164,1.7456,1.5700,0.025503,600,0.5845157,0.58491,0.58431,0.0001291,600,0.836285,0.8382,0.8335,0.001001,600,0.5833415,0.58377,0.58307,0.0002131,600,0.812636,0.8147,0.8100,0.001218,600,2.025080,2.0299,2.0239,0.001066,600,1.675178,1.7641,1.5825,0.024657,600,1.651720,1.8433,1.5355,0.034530,600,2.068562,2.0695,2.0679,0.000234,600,0.0006317,0.00074,0.00060,0.0000232,600,10.99,14,9,0.86,600,11.04,13,9,0.88,600,9.97,12,8,0.81,600,9.63,12,7,0.80,600,8.93,11,7,0.85,600,8.10,10,6,0.88,600,6.93,11,4,1.08,600,3.79,8,0,2.11,600,12.9390,12.99,12.89,22.03,25,20,28.81,345776
2026-07-07 01:50:00,8.986,11.0,7.2,0.873,600,9.091,11.7,6.4,0.845,600,8.361,11.0,6.4,0.896,600,8.004,10.2,5.7,0.866,600,7.535,10.2,5.7,0.695,600,6.876,8.7,4.9,0.666,600,5.781,7.9,3.4,0.772,600,3.548,7.2,0.4,1.339,600,203.9161,4.6608,600,201.4951,4.5352,600,201.8775,4.6942,600,197.4704,5.4349,600,83.3762,83.62,83.15,0.1048,600,81.3954,81.77,81.07,0.1759,600,28.45163,28.491,28.404,0.03188,600,28.29378,28.327,28.223,0.02816,600,988.5398,989.75,988.11,0.1961,600,999.2053,999.33,999.00,0.0539,600,1.0080,1.18,0.97,0.0382,600,1.688749,1.7721,1.5992,0.031568,600,1.674191,1.7735,1.5697,0.030672,600,0.5845163,0.58491,0.58404,0.0003188,600,0.833762,0.8362,0.8315,0.001048,600,0.5829378,0.58327,0.58223,0.0002816,600,0.813954,0.8177,0.8107,0.001759,600,2.024634,2.0296,2.0229,0.000804,600,1.678094,1.8010,1.5694,0.031884,600,1.647433,1.7748,1.5126,0.036811,600,2.068363,2.0689,2.0675,0.000221,600,0.0006300,0.00074,0.00060,0.0000239,600,11.39,14,9,1.15,600,11.53,15,8,1.11,600,10.53,14,8,1.18,600,10.08,13,7,1.14,600,9.45,13,7,0.91,600,8.54,11,6,0.88,600,7.15,10,4,1.02,600,4.12,9,0,1.77,600,12.9382,13.08,12.83,22.05,25,20,28.83,345853
2026-07-07 02:00:00,8.826,11.0,7.2,0.764,600,8.883,11.7,7.2,0.770,600,8.212,11.0,6.4,0.716,600,7.883,10.2,5.7,0.752,600,7.341,9.5,4.9,0.785,600,6.579,8.7,4.9,0.749,600,5.417,7.9,3.4,0.846,600,3.192,5.7,0.4,1.374,600,204.2135,4.1109,600,201.3344,4.1599,600,202.4275,4.0803,600,198.8690,5.5336,600,83.2569,83.62,82.95,0.1747,600,81.8139,82.08,81.44,0.1292,600,28.45238,28.481,28.407,0.02087,600,28.18561,28.226,28.152,0.01501,600,988.4841,989.67,988.11,0.2566,600,999.1151,999.41,998.84,0.0851,600,1.0048,1.18,0.97,0.0373,600,1.690759,1.7674,1.6039,0.027842,600,1.673104,1.7412,1.5496,0.028135,600,0.5845238,0.58481,0.58407,0.0002087,600,0.832569,0.8362,0.8295,0.001747,600,0.5818561,0.58226,0.58152,0.0001501,600,0.818139,0.8208,0.8144,0.001292,600,2.024406,2.0293,2.0229,0.001052,600,1.681806,1.7617,1.5694,0.027710,600,1.656886,1.7785,1.5472,0.037471,600,2.067994,2.0692,2.0669,0.000349,600,0.0006280,0.00074,0.00060,0.0000233,600,11.19,14,9,1.00,600,11.25,15,9,1.02,600,10.33,14,8,0.94,600,9.92,13,7,0.99,600,9.19,12,6,1.03,600,8.15,11,6,0.99,600,6.67,10,4,1.12,600,3.64,7,0,1.82,600,12.9356,13.05,12.89,22.09,27,19,28.75,345930
2026-07-07 02:10:00,8.324,11.0,6.4,0.821,600,8.438,11.0,6.4,0.849,600,7.720,10.2,5.7,0.868,600,7.461,10.2,5.7,0.891,600,6.946,9.5,4.9,0.858,600,6.411,9.5,4.2,0.964,600,5.545,8.7,3.4,1.063,600,2.897,6.5,0.4,1.794,600,206.4279,5.3909,600,204.0477,5.3976,600,204.4595,5.2864,600,200.9745,5.7774,600,83.0004,83.29,82.85,0.0755,600,82.0130,82.41,81.27,0.2633,600,28.45170,28.491,28.411,0.02525,600,28.10561,28.156,28.031,0.04225,600,988.3667,989.67,987.95,0.2464,600,999.0242,999.25,998.84,0.0714,600,1.0023,1.18,0.97,0.0389,600,1.705749,1.8027,1.5972,0.036516,600,1.691446,1.7909,1.5882,0.036509,600,0.5845170,0.58491,0.58411,0.0002525,600,0.830004,0.8329,0.8285,0.000755,600,0.5810561,0.58156,0.58031,0.0004225,600,0.820130,0.8241,0.8127,0.002633,600,2.023925,2.0293,2.0222,0.001010,600,1.695622,1.8272,1.6117,0.035908,600,1.671128,1.8067,1.5153,0.039145,600,2.067621,2.0685,2.0669,0.000293,600,0.0006265,0.00074,0.00060,0.0000243,600,10.53,14,8,1.08,600,10.67,14,8,1.12,600,9.68,13,7,1.14,600,9.37,13,7,1.17,600,8.67,12,6,1.12,600,7.93,12,5,1.27,600,6.83,11,4,1.40,600,3.25,8,0,2.38,600,12.9340,12.98,12.88,22.06,24,20,28.52,346007
